x,y,lat,long
885,499,39.6131599,-74.3610947
506,488,39.6133506,-74.3619222
708,498,39.6132553,-74.3615161
804,499,39.6132083,-74.3612909
615,495,39.6132981,-74.3617177
559,495,39.6133243,-74.3618296
663,497,39.6132746,-74.3616128
759,500,39.6132262,-74.3614042
846,501,39.6131848,-74.36119
119,480,39.61353292,-74.36275242
329,486,39.6134293,-74.3623166
238,484,39.6134721,-74.362521
427,488,39.6133837,-74.3621011
178,481,39.6134998,-74.3626467
282,485,39.61345,-74.3624147
383,487,39.6134058,-74.3622061
468,488,39.6133658,-74.3620085
504,676,39.6130591,-74.3620002
504,584,39.6131986,-74.361956
505,531,39.6132663,-74.3619386
505,632,39.6131171,-74.3619814
883,677,39.6128919,-74.3611885
713,677,39.61297863,-74.3616074
806,679,39.61293373,-74.36138914
611,678,39.61302145,-74.36181461
557,677,39.61303803,-74.36190095
664,677,39.6129952,-74.36169788
763,678,39.61295652,-74.36149689
849,676,39.61291094,-74.36127793
121,696,39.6131865,-74.3628659
328,686,39.6131244,-74.3624155
417,682,39.6130912,-74.3621959
233,692,39.6131548,-74.3626421
173,692,39.61317,-74.3627512
283,691,39.6131382,-74.3625247
376,684,39.6131092,-74.362305
461,677,39.6130719,-74.3620881
116,583,39.6133716,-74.362812
118,649,39.6132653,-74.3628396
117,530,39.6134573,-74.3627802
883,590,39.61302974,-74.3611315
882,636,39.6129586,-74.36115568
885,543,39.6130954,-74.3611087
510,188,39.61380057,-74.36177593
142,196,39.6139311,-74.362553
333,181,39.6138841,-74.3621745
234,179,39.6139201,-74.3623651
425,189,39.6138316,-74.3619755
187,177,39.6139394,-74.3624507
284,183,39.6138952,-74.3622656
380,183,39.6138676,-74.362075
469,191,39.6138123,-74.3618678
121,327,39.61374186,-74.36267178
123,259,39.6138386,-74.3626296
132,227,39.6138855,-74.3625937
120,293,39.6137861,-74.362649
119,402,39.6136396,-74.3627098
117,365,39.6136866,-74.3626932
119,438,39.6135816,-74.3627263
129, 886,39.6129041,-74.3629504
210, 880,39.6128692,-74.3627431
285, 878,39.6128342,-74.3625346
343, 876,39.6127936,-74.3623385
404, 875,39.6127486,-74.3621639
170, 883,39.6128827,-74.3628502
251, 880,39.6128489,-74.3626451
313, 879,39.6128151,-74.3624467
373, 876,39.6127655,-74.3622236
502, 869,39.6127452,-74.3620805
504, 678,39.6130675,-74.3620050
503, 765,39.6128849,-74.3620388
504, 724,39.6129728,-74.3620185
502, 819,39.6128139,-74.3620625
449, 870,39.6127424,-74.3621256
123, 784,39.6130399,-74.3628964
124, 836,39.6129587,-74.3629166
119, 743,39.6131097,-74.3628806
80,  974,39.6127998,-74.3630620
116, 940,39.6128404,-74.3629966
100, 959,39.6128404,-74.3629899
143, 333,39.6137278,-74.3626156
508, 350,39.6135402,-74.3618658
293, 341,39.6136421,-74.3622422
403, 347,39.6136135,-74.3620783
225, 336,39.6136831,-74.3624435
347, 344,39.6135750,-74.3619776
192, 335,39.6137017,-74.3625330
260, 340,39.6136632,-74.3623516
319, 346,39.6136247,-74.3621627
455, 349,39.6135601,-74.3619205
885, 364,39.6133675,-74.3610061
719, 357,39.6134656,-74.3614558
637, 356,39.6135091,-74.3616620
807, 362,39.6134246,-74.3612409
577, 353,39.6135278,-74.3617788
848, 363,39.6134010,-74.3611204
757, 359,39.6134470,-74.3613477
678, 358,39.6134880,-74.3615577
373, 345,39.61359298,-74.36202918
506, 462,39.61338053,-74.36191923
507, 410,39.61345756,-74.36189438
507, 383,39.61349794,-74.36187823
507, 440,39.61341780,-74.36190866
886, 479,39.61319417,-74.36108247
887, 426,39.61327679,-74.36104209
886, 456,39.61323455,-74.36106197
888, 395,39.61332027,-74.36102470
869, 256,39.6135911,-74.3609943
884, 309,39.61347216,-74.36098215
886, 336,39.61342060,-74.36099395
880, 285,39.61352993,-74.36098339
726, 201,39.61365790,-74.36114801
810, 212,39.61362435,-74.36106352
845, 234,39.61360696,-74.36102998
766, 205,39.61364174,-74.36110204
612, 196,39.6137374,-74.3614729
504, 191,39.6137896,-74.3617524
556, 195,39.6137610,-74.3616220
669, 200,39.6136952,-74.3613114
700, 205,39.6137213,-74.3613971
642, 198,39.6137473,-74.3615462
746, 203,39.6136778,-74.3612381
883, 704,39.61284164,-74.36120143
879, 852,39.6125770,-74.3612896
881, 786,39.6127112,-74.3612362
881, 820,39.6126360,-74.3612654
885, 753,39.6127690,-74.3612157
535, 871,39.6127329,-74.3620519
720, 864,39.6126634,-74.3617139
791, 863,39.6126112,-74.3615127
649, 867,39.6126969,-74.3618879
835, 861,39.6125876,-74.3614058
592, 869,39.6127106,-74.3619649
755, 867,39.6126360,-74.3616245
683, 868,39.6126832,-74.3617959
